record_id,source_db,doi,preprint_id,openalex_id,title,abstract,has_abstract,authors,year,venue,venue_type,is_oa,oa_basis,oa_status,cited_by_count,dup_of,dup_basis
RC-0001,arxiv|openalex,10.1016/j.jocs.2020.101237,2011.02280,W3101278268,Physics-informed echo state networks,"© 2020 Elsevier B.V. We propose a physics-informed echo state network (ESN) to predict the evolution of chaotic systems. Compared to conventional ESNs, the physics-informed ESNs are trained to solve supervised learning tasks while ensuring that their predictions do not violate physical laws. This is achieved by introducing an additional loss function during the training, which is based on the system's governing equations. The additional loss function penalizes non-physical predictions without the need of any additional training data. This approach is demonstrated on a chaotic Lorenz system and a truncation of the Charney–DeVore system. Compared to the conventional ESNs, the physics-informed ESNs improve the predictability horizon by about two Lyapunov times. This approach is also shown to be robust with regard to noise. The proposed framework shows the potential of using machine learning combined with prior physical knowledge to improve the time-accurate prediction of chaotic dynamical systems.",1,"D; o; a; n; ,;  ; N; A; K; ;;  ; P; o; l; i; f; k; e; ,;  ; W; ;;  ; M; a; g; r; i; ,;  ; L; ;;  ; ,",2020,Cambridge University Engineering Department Publications Database,article,1,arxiv|openalex,closed,49,,
RC-0002,openalex,10.1103/physrevapplied.11.034021,,W3100368702,Boosting Computational Power through Spatial Multiplexing in Quantum Reservoir Computing,"Quantum reservoir computing provides a framework for exploiting the natural dynamics of quantum systems as a computational resource. It can implement real-time signal processing and solve temporal machine-learning problems in general, which requires memory and nonlinear mapping of the recent input stream using the quantum dynamics in the computational supremacy region, where the classical simulation of the system is intractable. A nuclear-magnetic-resonance spin-ensemble system is one of the realistic candidates for such physical implementations, which is currently available in laboratories. In this paper, considering these realistic experimental constraints for implementing the framework, we introduce a scheme, which we call a spatial multiplexing technique, to effectively boost the computational power of the platform. This technique exploits disjoint dynamics, which originate from multiple different quantum systems driven by common input streams in parallel. Accordingly, unlike designing a single large quantum system to increase the number of qubits for computational nodes, it is possible to prepare a huge number of qubits from multiple but small quantum systems, which are operationally easy to handle in laboratory experiments. We numerically demonstrate the effectiveness of the technique using several benchmark tasks and quantitatively investigate its specifications, range of validity, and limitations in detail.",1,K; o; h; e; i;  ; N; a; k; a; j; i; m; a; ;;  ; K; e; i; s; u; k; e;  ; F; u; j; i; i; ;;  ; M; a; k; o; t; o;  ; N; e; g; o; r; o; ;;  ; K; o; s; u; k; e;  ; M; i; t; a; r; a; i; ;;  ; M; a; s; a; h; i; r; o;  ; K; i; t; a; g; a; w; a,2019,Institutional Repositories DataBase (IRDB),article,1,openalex,green,130,,
RC-0003,arxiv|openalex,10.1103/physrevapplied.12.024052,1905.07937,W2946603570,Reservoir Computing on Spin-Torque Oscillator Array,"Reservoir computing (a framework for machine learning) implemented in physical systems has attracted much attention for real-time computing in $e.g.$ time-series modeling and prediction, for which a single spin-torque oscillator (STO) has been proposed. The performance of a single STO will be limited, though. To solve this issue, the authors study reservoir computing on an $a\phantom{\rule{0}{0ex}}r\phantom{\rule{0}{0ex}}r\phantom{\rule{0}{0ex}}a\phantom{\rule{0}{0ex}}y$ of STOs, showing numerically that the system's performance can improve with more STOs, and can become remarkably better than for a standard neural-network model. Interestingly, performance is best near a boundary between synchronized and disordered states, suggesting an enhancement at the edge of chaos.",1,T; a; r; o;  ; K; a; n; a; o; ;;  ; H; i; r; o; f; u; m; i;  ; S; u; t; o; ;;  ; K; o; i; c; h; i;  ; M; i; z; u; s; h; i; m; a; ;;  ; H; a; y; a; t; o;  ; G; o; t; o; ;;  ; T; e; t; s; u; f; u; m; i;  ; T; a; n; a; m; o; t; o; ;;  ; T; a; z; u; m; i;  ; N; a; g; a; s; a; w; a,2019,Physical Review Applied,article,1,arxiv|openalex,green,95,,
RC-0004,arxiv|openalex,10.1063/1.5079686,1901.07729,W2912275983,Consistency in echo-state networks,"Consistency is an extension to generalized synchronization which quantifies the degree of functional dependency of a driven nonlinear system to its input. We apply this concept to echo-state networks, which are an artificial-neural network version of reservoir computing. Through a replica test, we measure the consistency levels of the high-dimensional response, yielding a comprehensive portrait of the echo-state property.",1,T; h; o; m; a; s;  ; L; y; m; b; u; r; n; ;;  ; A; l; e; x; a; n; d; e; r;  ; K; h; o; r; ;;  ; T; h; o; m; a; s;  ; S; t; e; m; l; e; r; ;;  ; D; é; b; o; r; a;  ; C; .;  ; C; o; r; r; ê; a; ;;  ; M; i; c; h; a; e; l;  ; S; m; a; l; l; ;;  ; T; h; o; m; a; s;  ; J; ü; n; g; l; i; n; g,2019,Chaos An Interdisciplinary Journal of Nonlinear Science,article,1,arxiv|openalex,green,50,,
RC-0005,arxiv|openalex,10.1364/oe.382556,1907.02804,W2953401808,Demonstrating delay-based reservoir computing using a compact photonic integrated chip,"Photonic delay-based reservoir computing (RC) has gained considerable attention lately, as it allows for simple technological implementations of the RC concept that can operate at high speed. In this paper, we discuss a practical, compact and robust implementation of photonic delay-based RC, by integrating a laser and a 5.4 cm delay line on an InP photonic integrated circuit. We demonstrate the operation of this chip with 23 nodes at a speed of 0.87 GSa/s, showing performances that is similar to previous non-integrated delay-based setups. We also investigate two other post-processing methods to obtain more nodes in the output layer. We show that these methods improve the performance drastically, without compromising the computation speed.",1,K; r; i; s; h; a; n;  ; H; a; r; k; h; o; e; ;;  ; G; u; y;  ; V; e; r; s; c; h; a; f; f; e; l; t; ;;  ; A; n; d; r; e; w;  ; K; a; t; u; m; b; a; ;;  ; P; e; t; e; r;  ; B; i; e; n; s; t; m; a; n; ;;  ; G; u; y;  ; V; a; n;  ; d; e; r;  ; S; a; n; d; e,2019,Optics Express,article,1,arxiv|openalex,gold,87,,
RC-0006,arxiv|openalex,10.48550/arxiv.1910.13886,1910.13886,W3117735472,Risk Bounds for Reservoir Computing,"We analyze the practices of reservoir computing in the framework of statistical learning theory. In particular, we derive finite sample upper bounds for the generalization error committed by specific families of reservoir computing systems when processing discrete-time inputs under various hypotheses on their dependence structure. Non-asymptotic bounds are explicitly written down in terms of the multivariate Rademacher complexities of the reservoir systems and the weak dependence structure of the signals that are being handled. This allows, in particular, to determine the minimal number of observations needed in order to guarantee a prescribed estimation accuracy with high probability for a given reservoir family. At the same time, the asymptotic behavior of the devised bounds guarantees the consistency of the empirical risk minimization procedure for various hypothesis classes of reservoir functionals.",1,L; u; k; a; s;  ; G; o; n; o; n; ;;  ; L; y; u; d; m; i; l; a;  ; G; r; i; g; o; r; y; e; v; a; ;;  ; J; u; a; n; ‐; P; a; b; l; o;  ; O; r; t; e; g; a,2020,Alexandria (UniSG) (University of St.Gallen),conference-paper,1,arxiv|openalex,green,9,,
RC-0007,openalex,,,W3195207332,Note Onset Detection using Echo State Networks,"In music analysis, one of the most fundamental tasks is note onset detection
– detecting the beginning of new note events. It is the basis for more high-level
tasks, such as beat tracking or tempo detection. The main outline of all approaches
for onset detection is roughly the same: The audio signal is transformed into an
Onset Detection Function (ODF), which is zero for most of the time but has pronounced
peaks in case of onsets. Applying peak picking algorithms on the ODF, the
onset times can be extracted. Currently, Convolutional Neural Networks (CNNs)
define the state of the art. In this paper, a first exploration of Echo State Networks
(ESNs) to obtain an ODF is presented. ESNs have achieved comparable results to
CNNs in several recognition tasks, such as speech and image recognition. Features
were extracted using a bank of filters with a logarithmic frequency spacing. The
feature vectors were fed into the ESN that computed the ODF. Applying a simple
threshold-based peak picking algorithm on the ODF, the onsets were detected.
For the hyperparameter optimization, a dataset with pre-defined splits for an 8-fold
cross validation was used. With all hyperparameters optimized, we reached an
F-Measure of 0.812 using a bidirectional ESN with 8000 neurons.",1,P; e; t; e; r;  ; S; t; e; i; n; e; r; ;;  ; S; i; m; o; n;  ; S; t; o; n; e; ;;  ; P; e; t; e; r;  ; B; i; r; k; h; o; l; z,2020,,article,0,,closed,5,,
RC-0008,openalex,,,W3023428745,Physical reservoir computing: Possibility to resolve the inconsistency between neuro-AI principles and its hardware.,,0,A; k; i; r; a;  ; H; i; r; o; s; e; ;;  ; S; e; i; j; i;  ; T; a; k; e; d; a; ;;  ; T; o; s; h; i; y; u; k; i;  ; Y; a; m; a; n; e; ;;  ; H; i; d; e; t; o; s; h; i;  ; N; u; m; a; t; a; ;;  ; N; a; o; k; i;  ; K; a; n; a; z; a; w; a; ;;  ; J; .;  ; B; .;  ; H; é; r; o; u; x; ;;  ; D; a; i; j; u;  ; N; a; k; a; n; o; ;;  ; R; y; o; s; h; o;  ; N; a; k; a; n; e; ;;  ; G; o; u; h; e; i;  ; T; a; n; a; k; a,2019,,article,0,,closed,3,,
RC-0009,openalex,10.31223/osf.io/fbxns,,W2985162225,"Data-driven prediction of a multi-scale Lorenz 96 chaotic system using a hierarchy of deep learning methods: Reservoir computing, ANN, and RNN-LSTM","In this paper, the performance of three deep learning methods for predicting short-term evolution and for reproducing the long-term statistics of a multi-scale spatio-temporal Lorenz 96 system is examined. The methods are: echo state network (a type of reservoir computing, RC-ESN), deep feed-forward artificial neural network (ANN), and recurrent neural network with long short-term memory (RNN-LSTM). This Lorenz 96 system has three tiers of nonlinearly interacting variables representing slow/large-scale ($X$), intermediate ($Y$), and fast/small-scale ($Z$) processes. For training or testing, only $X$ is available; $Y$ and $Z$ are never known or used. We show that RC-ESN substantially outperforms ANN and RNN-LSTM for short-term prediction, e.g., accurately forecasting the chaotic trajectories for hundreds of numerical solver's time steps, equivalent to several Lyapunov timescales. The RNN-LSTM and ANN show some prediction skills as well; RNN-LSTM bests ANN. Furthermore, even after losing the trajectory, data predicted by RC-ESN and RNN-LSTM have probability density functions (PDFs) that closely match the true PDF, even at the tails. The PDF of the data predicted using ANN, however, deviates from the true PDF. Implications, caveats, and applications to data-driven and data-assisted surrogate modeling of complex nonlinear dynamical systems such as weather/climate are discussed.",1,P; e; d; r; a; m;  ; H; a; s; s; a; n; z; a; d; e; h; ;;  ; A; s; h; e; s; h;  ; C; h; a; t; t; o; p; a; d; h; y; a; y; ;;  ; K; r; i; s; h; n; a;  ; V; .;  ; P; a; l; e; m; ;;  ; D; e; v; i; k; a;  ; S; u; b; r; a; m; a; n; i; a; n,2019,Bulletin of the American Physical Society,article,1,openalex,closed,14,,
RC-0010,openalex,,,W2979644140,Forecasting of Spatio-temporal Chaotic Dynamics with Recurrent Neural Networks: a comparative study of Reservoir Computing and Backpropagation Algorithms,"We examine the efficiency of Recurrent Neural Networks in forecasting the spatiotemporal dynamics of high dimensional and reduced order complex systems using Reservoir Computing (RC) and Backpropagation through time (BPTT) for gated network architectures. We highlight advantages and limitations of each method and discuss their implementation for parallel computing architectures. We quantify the relative prediction accuracy of these algorithms for the longterm forecasting of chaotic systems using as benchmarks the Lorenz-96 and the Kuramoto-Sivashinsky (KS) equations. We find that, when the full state dynamics are available for training, RC outperforms BPTT approaches in terms of predictive performance and in capturing of the long-term statistics, while at the same time requiring much less training time. However, in the case of reduced order data, large scale RC models can be unstable and more likely than the BPTT algorithms to diverge. In contrast, RNNs trained via BPTT show superior forecasting abilities and capture well the dynamics of reduced order systems. Furthermore, the present study quantifies for the first time the Lyapunov Spectrum of the KS equation with BPTT, achieving similar accuracy as RC. This study establishes that RNNs are a potent computational framework for the learning and forecasting of complex spatiotemporal systems.",1,P; a; n; t; e; l; i; s;  ; R; .;  ; V; l; a; c; h; a; s; ;;  ; J; a; i; d; e; e; p;  ; P; a; t; h; a; k; ;;  ; B; r; i; a; n;  ; R; .;  ; H; u; n; t; ;;  ; T; h; e; m; i; s; t; o; k; l; i; s;  ; P; .;  ; S; a; p; s; i; s; ;;  ; M; i; c; h; e; l; l; e;  ; G; i; r; v; a; n; ;;  ; E; d; w; a; r; d;  ; O; t; t; ;;  ; P; e; t; r; o; s;  ; K; o; u; m; o; u; t; s; a; k; o; s,2019,,article,0,,closed,21,,
